Alu-Schale;Pflanze;Versuchs-gruppe;Wuchs, mm;;;;;;;;;;;;;;;;;
;;;3/5/16;3/6/16;3/7/16;3/8/16;3/9/16;3/10/16;3/11/16;3/12/16;3/13/16;3/14/16;3/15/16;3/16/16;3/17/16;3/18/16;3/19/16;3/20/16;3/21/16;3/22/16
;;;Tag 1;Tag 2;Tag 3;Tag 4;Tag 5;Tag 6;Tag 7;Tag 8;Tag 9;Tag 10;Tag 11;Tag 12;Tag 13;Tag 14;Tag 15;Tag 16;Tag 17;Tag 18
IA1;IA2;A+;60;65;72;80;83;83;84;86;87;w;w;w;w;t;t;t;t;t
;IA4;A+;15;15;15;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IA5;A+;30;30;45;58;60;60;61;64;67;w;w;w;w;t;t;t;t;t
;IA6;A+;8;11;13;16;16;t;t;t;t;t;t;t;t;t;t;t;t;t
IA2;IA7;A-;10;17;25;30;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;IA8;A-;5;12;21;24;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IA9;A-;3;12;30;42;45;w;w;w;t;t;t;t;t;t;t;t;t;t
;IA10;A-;30;35;45;60;63;65;w;w;w;t;t;t;t;t;t;t;t;t
;IA11;A-;11;20;33;40;40;43;w;w;w;t;t;t;t;t;t;t;t;t
;IA12;A-;6;12;17;20;w;w;w;t;t;t;t;t;t;t;t;t;t;t
IA3;IA13;A-;3;7;11;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IA14;A-;8;15;23;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IA15;A-;10;12;14;14;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IA16;A-;15;17;22;26;26;w;w;w;t;t;t;t;t;t;t;t;t;t
;IA18;A-;20;40;52;56;w;w;w;w;t;t;t;t;t;t;t;t;t;t
IA4;IA19;A-;17;35;52;67;70;72;73;w;w;w;t;t;t;t;t;t;t;t
;IA20;A-;15;25;34;36;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;IA21;A-;8;13;15;17;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;IA22;A-;17;33;41;44;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;IA23;A-;10;25;28;w;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;IA24;A-;17;30;38;46;w;w;w;w;w;t;t;t;t;t;t;t;t;t
IA5;IA25;A+;30;43;57;70;75;w;75;75;w;w;w;w;t;t;t;t;t;t
;IA28;A+;8;28;40;47;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;IA29;A+;6;15;26;31;33;33;w;w;w;t;t;t;t;t;t;t;t;t
;IA30;A+;1;11;22;34;34;34;w;w;w;w;t;t;t;t;t;t;t;t
IA6;IA32;A-;6;10;16;16;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IA33;A-;43;57;68;75;77;77;w;w;w;w;t;t;t;t;t;t;t;t
;IA34;A-;20;32;37;41;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IA35;A-;38;44;51;58;60;60;w;w;w;w;t;t;t;t;t;t;t;t
;IA36;A-;67;83;90;94;95;95;w;w;w;w;t;t;t;t;t;t;t;t
IA7;IA38;A+;30;45;52;59;62;w;w;w;t;t;t;t;t;t;t;t;t;t
;IA39;A+;47;72;83;88;88;w;w;w;t;t;t;t;t;t;t;t;t;t
;IA40;A+;44;60;71;73;73;w;73;73;w;w;t;t;t;t;t;t;t;t
