Alu-Schale;Pflanze;Versuchs-gruppe;Wuchs, mm;;;;;;;;;;;;;;;;;
;;;3/25/16;3/26/16;3/27/16;3/28/16;3/29/16;3/30/16;3/31/16;4/1/16;4/2/16;4/3/16;4/4/16;4/5/16;4/6/16;4/7/16;4/8/16;4/9/16;;
;;;Tag 1;Tag 2;Tag 3;Tag 4;Tag 5;Tag 6;Tag 7;Tag 8;Tag 9;Tag 10;Tag 11;Tag 12;Tag 13;Tag 14;Tag 15;Tag 16;;
IIA1*;IIA1;A+;11;22;26;27;28;28;29;29;29;29;w;w;w;w;t;t;;
;IIA2;A+;8;17;25;25;25;w;w;w;w;w;w;w;w;t;t;t;;
;IIA3;A+;20;40;48;54;54;54;54;54;54;54;w;w;w;w;t;t;;
;IIA4;A+;10;16;16;w;w;w;w;w;w;w;t;t;t;t;t;t;;
;IIA5;A+;20;29;38;38;39;39;39;39;39;39;39;w;w;w;w;t;;
;IIA6;A+;19;30;34;34;34;34;34;34;34;34;34;w;w;w;w;w;;
IIA2;IIA7;A-;7;22;22;23;23;23;23;w;w;w;w;w;t;t;t;t;;
;IIA8;A-;20;28;32;w;w;w;w;w;w;t;t;t;t;t;t;t;;
;IIA9;A-;6;20;30;30;30;30;30;w;w;w;w;w;w;w;w;t;;
;IIA10;A-;14;28;32;33;33;33;34;w;w;w;w;w;w;w;w;w;;
;IIA11;A-;6;10;10;w;w;w;w;w;w;t;t;t;t;t;t;t;;
;IIA12;A-;20;34;43;43;43;43;w;w;w;w;w;w;w;w;w;t;;
IIA3;IIA13;A+;15;21;28;29;32;w;w;w;w;w;w;t;t;t;t;t;;
;IIA14;A+;17;28;30;30;30;w;w;w;w;w;t;t;t;t;t;t;;
;IIA15;A+;9;22;34;34;w;w;w;w;w;w;t;t;t;t;t;t;;
;IIA16;A+;16;31;37;37;37;w;w;w;w;w;w;w;t;t;t;t;;
;IIA17;A+;10;19;22;22;22;w;w;w;w;w;t;t;t;t;t;t;;
;IIA18;A+;5;20;25;w;w;w;t;t;t;t;t;t;t;t;t;t;;
IIA4*;IIA19;A-;10;36;43;43;44;44;44;44;w;w;w;w;w;t;t;t;;
